[ 2025-02-17 13:49:30,002 ] 24 networksecurity.logging - INFO - Logging system initialized successfully!
[ 2025-02-17 13:49:33,199 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-17 13:49:38,484 ] 91 root - INFO - Performed train test split on the dataframe
[ 2025-02-17 13:49:38,484 ] 93 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-17 13:49:38,484 ] 101 root - INFO - Exporting train and test file path.
[ 2025-02-17 13:49:38,676 ] 110 root - INFO - Exported train and test file path.
[ 2025-02-17 13:49:38,676 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-17 13:49:38,746 ] 29 root - INFO - Initiate the data Validation
[ 2025-02-17 13:49:38,870 ] 37 root - INFO - Required number of columns:2
[ 2025-02-17 13:49:38,870 ] 38 root - INFO - Data frame has columns:31
[ 2025-02-17 13:49:38,870 ] 31 root - INFO - data Validation Completed
