[ 2025-02-17 18:38:23,584 ] 24 networksecurity.logging - INFO - Logging system initialized successfully!
[ 2025-02-17 18:38:30,171 ] 23 root - INFO - Initiating the data ingestion process
[ 2025-02-17 18:38:35,774 ] 91 root - INFO - Performed train test split on the dataframe
[ 2025-02-17 18:38:35,774 ] 93 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-17 18:38:35,790 ] 101 root - INFO - Exporting train and test file path.
[ 2025-02-17 18:38:35,915 ] 110 root - INFO - Exported train and test file path.
[ 2025-02-17 18:38:35,915 ] 25 root - INFO - Data ingestion completed
[ 2025-02-17 18:38:35,922 ] 32 root - INFO - Initiating the data validation process
[ 2025-02-17 18:38:36,019 ] 32 root - INFO - Required number of columns:2
[ 2025-02-17 18:38:36,019 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-17 18:38:36,019 ] 32 root - INFO - Required number of columns:2
[ 2025-02-17 18:38:36,019 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-17 18:38:36,339 ] 34 root - INFO - Data validation completed
[ 2025-02-17 18:38:36,339 ] 40 root - INFO - intitaing the data transformation
[ 2025-02-17 18:38:36,404 ] 38 root - INFO - knnimputer is intialised
[ 2025-02-17 18:38:36,430 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-17 18:38:36,435 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-17 18:38:36,435 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-17 18:38:36,439 ] 51 root - INFO - Exited the save_object method of MainUtils class
