[ 2025-02-18 20:47:02,204 ] 24 networksecurity.logging - INFO - Logging system initialized successfully!
[ 2025-02-18 20:47:06,594 ] 25 root - INFO - Initiating the data ingestion process
[ 2025-02-18 20:47:11,957 ] 91 root - INFO - Performed train test split on the dataframe
[ 2025-02-18 20:47:11,958 ] 93 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-18 20:47:11,958 ] 101 root - INFO - Exporting train and test file path.
[ 2025-02-18 20:47:12,089 ] 110 root - INFO - Exported train and test file path.
[ 2025-02-18 20:47:12,090 ] 27 root - INFO - Data ingestion completed
[ 2025-02-18 20:47:12,099 ] 34 root - INFO - Initiating the data validation process
[ 2025-02-18 20:47:12,187 ] 32 root - INFO - Required number of columns:2
[ 2025-02-18 20:47:12,187 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-18 20:47:12,187 ] 32 root - INFO - Required number of columns:2
[ 2025-02-18 20:47:12,188 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-18 20:47:12,566 ] 36 root - INFO - Data validation completed
[ 2025-02-18 20:47:12,567 ] 42 root - INFO - intitaing the data transformation
[ 2025-02-18 20:47:12,620 ] 38 root - INFO - knnimputer is intialised
[ 2025-02-18 20:47:12,645 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-18 20:47:12,649 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-18 20:47:12,649 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-18 20:47:12,652 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-18 20:47:12,653 ] 44 root - INFO - data transformation is completed
[ 2025-02-18 20:47:12,654 ] 48 root - INFO - Model Training sstared
