[ 2025-02-18 20:58:08,521 ] 24 networksecurity.logging - INFO - Logging system initialized successfully!
[ 2025-02-18 20:58:12,534 ] 25 root - INFO - Initiating the data ingestion process
[ 2025-02-18 20:58:17,648 ] 91 root - INFO - Performed train test split on the dataframe
[ 2025-02-18 20:58:17,648 ] 93 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-18 20:58:17,649 ] 101 root - INFO - Exporting train and test file path.
[ 2025-02-18 20:58:17,783 ] 110 root - INFO - Exported train and test file path.
[ 2025-02-18 20:58:17,784 ] 27 root - INFO - Data ingestion completed
[ 2025-02-18 20:58:17,792 ] 34 root - INFO - Initiating the data validation process
[ 2025-02-18 20:58:17,880 ] 32 root - INFO - Required number of columns:2
[ 2025-02-18 20:58:17,881 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-18 20:58:17,881 ] 32 root - INFO - Required number of columns:2
[ 2025-02-18 20:58:17,881 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-18 20:58:18,168 ] 36 root - INFO - Data validation completed
[ 2025-02-18 20:58:18,169 ] 42 root - INFO - intitaing the data transformation
[ 2025-02-18 20:58:18,218 ] 38 root - INFO - knnimputer is intialised
[ 2025-02-18 20:58:18,235 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-18 20:58:18,239 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-18 20:58:18,239 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-18 20:58:18,242 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-18 20:58:18,243 ] 44 root - INFO - data transformation is completed
[ 2025-02-18 20:58:18,245 ] 48 root - INFO - Model Training sstared
