[ 2025-02-17 13:54:13,582 ] 24 networksecurity.logging - INFO - Logging system initialized successfully!
[ 2025-02-17 13:54:17,647 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-17 13:54:23,276 ] 91 root - INFO - Performed train test split on the dataframe
[ 2025-02-17 13:54:23,276 ] 93 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-17 13:54:23,276 ] 101 root - INFO - Exporting train and test file path.
[ 2025-02-17 13:54:23,416 ] 110 root - INFO - Exported train and test file path.
[ 2025-02-17 13:54:23,416 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-17 13:54:23,479 ] 29 root - INFO - Initiate the data Validation
[ 2025-02-17 13:54:23,568 ] 37 root - INFO - Required number of columns:2
[ 2025-02-17 13:54:23,576 ] 38 root - INFO - Data frame has columns:31
[ 2025-02-17 13:54:23,576 ] 31 root - INFO - data Validation Completed
